Rank;Name;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales;Global_Sales_Disc
50;Pokemon Omega Ruby/Pokemon Alpha Sapphire;3DS;2014,0;Role-Playing;Nintendo;4,23;3,37;3,08;0,65;11,33;Moderadas Ventas
51;Super Mario Land 2: 6 Golden Coins;GB;1992,0;Adventure;Nintendo;6,16;2,04;2,69;0,29;11,18;Moderadas Ventas
52;Grand Theft Auto IV;X360;2008,0;Action;Take-Two Interactive;6,76;3,1;0,14;1,03;11,02;Moderadas Ventas
53;Gran Turismo;PS;1997,0;Racing;Sony Computer Entertainment;4,02;3,87;2,54;0,52;10,95;Moderadas Ventas
54;Super Mario 3D Land;3DS;2011,0;Platform;Nintendo;4,89;2,99;2,13;0,78;10,79;Moderadas Ventas
55;Gran Turismo 5;PS3;2010,0;Racing;Sony Computer Entertainment;2,96;4,88;0,81;2,12;10,77;Moderadas Ventas
56;Call of Duty: Modern Warfare 2;PS3;2009,0;Shooter;Activision;4,99;3,69;0,38;1,63;10,69;Moderadas Ventas
57;Grand Theft Auto IV;PS3;2008,0;Action;Take-Two Interactive;4,76;3,76;0,44;1,62;10,57;Moderadas Ventas
58;Super Mario All-Stars;SNES;1993,0;Platform;Nintendo;5,99;2,15;2,12;0,29;10,55;Moderadas Ventas
59;Pokemon FireRed/Pokemon LeafGreen;GBA;2004,0;Role-Playing;Nintendo;4,34;2,65;3,15;0,35;10,49;Moderadas Ventas
60;Super Mario 64;DS;2004,0;Platform;Nintendo;5,08;3,11;1,25;0,98;10,42;Moderadas Ventas
61;Just Dance 3;Wii;2011,0;Misc;Ubisoft;6,05;3,15;0,0;1,07;10,26;Moderadas Ventas
62;Call of Duty: Ghosts;X360;2013,0;Shooter;Activision;6,72;2,63;0,04;0,82;10,21;Moderadas Ventas
63;Halo: Reach;X360;2010,0;Shooter;Microsoft Game Studios;7,03;1,98;0,08;0,78;9,88;Bajas Ventas
64;Mario Kart 64;N64;1996,0;Racing;Nintendo;5,55;1,94;2,23;0,15;9,87;Bajas Ventas
65;New Super Mario Bros, 2;3DS;2012,0;Platform;Nintendo;3,66;3,07;2,47;0,63;9,82;Bajas Ventas
66;Halo 4;X360;2012,0;Shooter;Microsoft Game Studios;6,63;2,36;0,04;0,73;9,76;Bajas Ventas
67;Final Fantasy VII;PS;1997,0;Role-Playing;Sony Computer Entertainment;3,01;2,47;3,28;0,96;9,72;Bajas Ventas
68;Call of Duty: Ghosts;PS3;2013,0;Shooter;Activision;4,09;3,73;0,38;1,38;9,59;Bajas Ventas
69;Just Dance 2;Wii;2010,0;Misc;Ubisoft;5,84;2,89;0,01;0,78;9,52;Bajas Ventas
70;Gran Turismo 2;PS;1999,0;Racing;Sony Computer Entertainment;3,88;3,42;1,69;0,5;9,49;Bajas Ventas
71;Call of Duty 4: Modern Warfare;X360;2007,0;Shooter;Activision;5,91;2,38;0,13;0,9;9,32;Bajas Ventas
72;Donkey Kong Country;SNES;1994,0;Platform;Nintendo;4,36;1,71;3,0;0,23;9,3;Bajas Ventas
73;Minecraft;X360;2013,0;Misc;Microsoft Game Studios;5,58;2,83;0,02;0,77;9,2;Bajas Ventas
74;Animal Crossing: New Leaf;3DS;2012,0;Simulation;Nintendo;2,01;2,32;4,36;0,41;9,09;Bajas Ventas
75;Mario Party DS;DS;2007,0;Misc;Nintendo;4,46;1,88;1,98;0,7;9,02;Bajas Ventas
76;The Elder Scrolls V: Skyrim;X360;2011,0;Role-Playing;Bethesda Softworks;5,03;2,86;0,1;0,85;8,84;Bajas Ventas
77;Super Mario Kart;SNES;1992,0;Racing;Nintendo;3,54;1,24;3,81;0,18;8,76;Bajas Ventas
78;FIFA 16;PS4;2015,0;Sports;Electronic Arts;1,11;6,06;0,06;1,26;8,49;Bajas Ventas
79;Wii Party;Wii;2010,0;Misc;Nintendo;1,79;3,53;2,49;0,68;8,49;Bajas Ventas
80;Halo 2;XB;2004,0;Shooter;Microsoft Game Studios;6,82;1,53;0,05;0,08;8,49;Bajas Ventas
81;Mario Party 8;Wii;2007,0;Misc;Nintendo;3,81;2,3;1,58;0,73;8,42;Bajas Ventas
82;Pokemon Black 2/Pokemon White 2;DS;2012,0;Role-Playing;Nintendo;2,91;1,86;3,14;0,43;8,33;Bajas Ventas
83;FIFA Soccer 13;PS3;2012,0;Action;Electronic Arts;1,06;5,05;0,13;2,01;8,24;Bajas Ventas
84;The Sims 3;PC;2009,0;Simulation;Electronic Arts;0,98;6,42;0,0;0,71;8,11;Bajas Ventas
85;GoldenEye 007;N64;1997,0;Shooter;Nintendo;5,8;2,01;0,13;0,15;8,09;Bajas Ventas
86;Mario & Sonic at the Olympic Games;Wii;2007,0;Sports;Sega;2,58;3,9;0,66;0,91;8,06;Bajas Ventas
87;Final Fantasy X;PS2;2001,0;Role-Playing;Sony Computer Entertainment;2,91;2,07;2,73;0,33;8,05;Bajas Ventas
88;Final Fantasy VIII;PS;1999,0;Role-Playing;SquareSoft;2,28;1,72;3,63;0,23;7,86;Bajas Ventas
89;Pokémon Platinum Version;DS;2008,0;Role-Playing;Nintendo;2,82;1,78;2,69;0,55;7,84;Bajas Ventas
90;Pac-Man;2600;1982,0;Puzzle;Atari;7,28;0,45;0,0;0,08;7,81;Bajas Ventas
91;Grand Theft Auto: Liberty City Stories;PSP;2005,0;Action;Take-Two Interactive;2,9;2,83;0,24;1,75;7,72;Bajas Ventas
92;Super Mario Galaxy 2;Wii;2010,0;Platform;Nintendo;3,66;2,42;0,98;0,64;7,69;Bajas Ventas
93;Star Wars Battlefront (2015);PS4;2015,0;Shooter;Electronic Arts;2,93;3,29;0,22;1,23;7,67;Bajas Ventas
94;Call of Duty: Advanced Warfare;PS4;2014,0;Shooter;Activision;2,8;3,3;0,14;1,37;7,6;Bajas Ventas
95;The Legend of Zelda: Ocarina of Time;N64;1998,0;Action;Nintendo;4,1;1,89;1,45;0,16;7,6;Bajas Ventas
96;Crash Bandicoot 2: Cortex Strikes Back;PS;1997,0;Platform;Sony Computer Entertainment;3,78;2,17;1,31;0,31;7,58;Bajas Ventas
97;Super Mario Bros, 2;NES;1988,0;Platform;Nintendo;5,39;1,18;0,7;0,19;7,46;Bajas Ventas
98;Super Smash Bros, for Wii U and 3DS;3DS;2014,0;Fighting;Nintendo;3,24;1,35;2,42;0,43;7,45;Bajas Ventas
99;Call of Duty: World at War;X360;2008,0;Shooter;Activision;4,79;1,9;0,0;0,69;7,37;Bajas Ventas
100;Battlefield 3;X360;2011,0;Shooter;Electronic Arts;4,46;2,13;0,06;0,69;7,34;Bajas Ventas
101;The Legend of Zelda: Twilight Princess;Wii;2006,0;Action;Nintendo;3,83;2,19;0,6;0,7;7,31;Bajas Ventas
102;Call of Duty: Black Ops 3;XOne;2015,0;Shooter;Activision;4,52;2,09;0,01;0,67;7,3;Bajas Ventas
103;Just Dance;Wii;2009,0;Misc;Ubisoft;3,51;3,03;0,0;0,73;7,27;Bajas Ventas
104;Battlefield 3;PS3;2011,0;Shooter;Electronic Arts;2,85;2,93;0,35;1,1;7,23;Bajas Ventas
105;Need for Speed Underground;PS2;2003,0;Racing;Electronic Arts;3,27;2,83;0,08;1,02;7,2;Bajas Ventas
106;Tekken 3;PS;1998,0;Fighting;Sony Computer Entertainment;3,27;2,22;1,4;0,29;7,16;Bajas Ventas
107;Crash Bandicoot 3: Warped;PS;1998,0;Platform;Sony Computer Entertainment;3,68;1,75;1,42;0,28;7,13;Bajas Ventas
108;Super Smash Bros, Melee;GC;2001,0;Fighting;Nintendo;4,41;1,04;1,39;0,22;7,07;Bajas Ventas
109;Mario Kart 8;WiiU;2014,0;Racing;Nintendo;3,13;2,07;1,27;0,49;6,96;Bajas Ventas
110;Fallout 4;PS4;2015,0;Role-Playing;Bethesda Softworks;2,47;3,15;0,24;1,1;6,96;Bajas Ventas
111;Mario Kart: Double Dash!!;GC;2003,0;Racing;Nintendo;4,12;1,77;0,87;0,19;6,95;Bajas Ventas
112;Just Dance 4;Wii;2012,0;Misc;Ubisoft;4,14;2,21;0,0;0,56;6,91;Bajas Ventas
113;FIFA 14;PS3;2013,0;Sports;Electronic Arts;0,78;4,32;0,07;1,73;6,9;Bajas Ventas
114;Need for Speed Underground 2;PS2;2004,0;Racing;Electronic Arts;2,71;3,02;0,08;1,09;6,9;Bajas Ventas
115;Medal of Honor: Frontline;PS2;2002,0;Shooter;Electronic Arts;2,93;2,75;0,17;0,99;6,83;Bajas Ventas
116;Uncharted 3: Drake's Deception;PS3;2011,0;Action;Sony Computer Entertainment;2,77;2,8;0,19;1,06;6,83;Bajas Ventas
117;Crash Bandicoot;PS;1996,0;Platform;Sony Computer Entertainment;3,23;2,35;0,94;0,3;6,82;Bajas Ventas
118;Zumba Fitness;Wii;2010,0;Sports;505 Games;3,5;2,64;0,0;0,67;6,81;Bajas Ventas
119;Gears of War 2;X360;2008,0;Shooter;Microsoft Game Studios;4,15;1,92;0,06;0,64;6,76;Bajas Ventas
120;Uncharted 2: Among Thieves;PS3;2009,0;Action;Sony Computer Entertainment;3,27;2,25;0,21;1,0;6,73;Bajas Ventas
121;Call of Duty 4: Modern Warfare;PS3;2007,0;Shooter;Activision;3,1;2,3;0,28;1,04;6,72;Bajas Ventas
122;FIFA 12;PS3;2011,0;Sports;Electronic Arts;0,84;4,32;0,11;1,42;6,69;Bajas Ventas
123;Big Brain Academy;DS;2005,0;Misc;Nintendo;1,67;2,78;1,6;0,62;6,67;Bajas Ventas
124;Red Dead Redemption;PS3;2010,0;Action;Take-Two Interactive;2,79;2,61;0,17;1,03;6,6;Bajas Ventas
125;FIFA 15;PS4;2014,0;Sports;Electronic Arts;0,79;4,29;0,05;1,47;6,59;Bajas Ventas
126;Donkey Kong Country Returns;Wii;2010,0;Platform;Nintendo;3,25;1,84;1,03;0,47;6,59;Bajas Ventas
127;The Elder Scrolls V: Skyrim;PS3;2011,0;Role-Playing;Bethesda Softworks;2,55;2,71;0,25;1,05;6,56;Bajas Ventas
128;The Legend of Zelda;NES;1986,0;Action;Nintendo;3,74;0,93;1,69;0,14;6,51;Bajas Ventas
129;Assassin's Creed III;PS3;2012,0;Action;Ubisoft;2,64;2,56;0,16;1,14;6,5;Bajas Ventas
130;Halo: Combat Evolved;XB;2001,0;Shooter;Microsoft Game Studios;4,98;1,3;0,08;0,07;6,43;Bajas Ventas
131;Pokémon Emerald Version;GBA;2004,0;Role-Playing;Nintendo;2,57;1,58;2,06;0,21;6,41;Bajas Ventas
132;Kingdom Hearts;PS2;2002,0;Role-Playing;Sony Computer Entertainment;3,64;1,2;1,49;0,07;6,4;Bajas Ventas
133;Pokémon Crystal Version;GB;2000,0;Role-Playing;Nintendo;2,55;1,56;1,29;0,99;6,39;Bajas Ventas
134;Halo 3: ODST;X360;2009,0;Shooter;Microsoft Game Studios;4,34;1,35;0,06;0,61;6,36;Bajas Ventas
135;Red Dead Redemption;X360;2010,0;Action;Take-Two Interactive;3,7;1,97;0,09;0,57;6,34;Bajas Ventas
136;Super Mario Sunshine;GC;2002,0;Platform;Nintendo;4,01;1,26;0,87;0,17;6,31;Bajas Ventas
137;Street Fighter II: The World Warrior;SNES;1992,0;Fighting;Capcom;2,47;0,83;2,87;0,12;6,3;Bajas Ventas
138;World of Warcraft;PC;2004,0;Role-Playing;Activision;0,07;6,21;0,0;0,0;6,28;Bajas Ventas
139;Driver;PS;1999,0;Action;GT Interactive;3,11;2,8;0,02;0,33;6,27;Bajas Ventas
140;Kinect Sports;X360;2010,0;Sports;Microsoft Game Studios;3,92;1,78;0,03;0,51;6,24;Bajas Ventas
141;Gears of War 3;X360;2011,0;Shooter;Microsoft Game Studios;4,05;1,62;0,07;0,49;6,24;Bajas Ventas
142;Gears of War;X360;2006,0;Shooter;Microsoft Game Studios;3,54;1,9;0,07;0,6;6,11;Bajas Ventas
143;Metal Gear Solid 2: Sons of Liberty;PS2;2001,0;Action;Konami Digital Entertainment;2,45;2,01;0,87;0,72;6,05;Bajas Ventas
144;Sonic the Hedgehog 2;GEN;1992,0;Platform;Sega;4,47;1,2;0,16;0,19;6,03;Bajas Ventas
145;Metal Gear Solid 4: Guns of the Patriots;PS3;2008,0;Action;Konami Digital Entertainment;2,63;1,74;0,83;0,83;6,03;Bajas Ventas
146;Metal Gear Solid;PS;1998,0;Action;Konami Digital Entertainment;3,18;1,83;0,78;0,24;6,03;Bajas Ventas
147;The Last of Us;PS3;2013,0;Action;Sony Computer Entertainment Europe;2,41;2,28;0,28;1,01;5,99;Bajas Ventas
148;Final Fantasy XII;PS2;2006,0;Role-Playing;Square Enix;1,88;0,0;2,33;1,74;5,95;Bajas Ventas
149;LittleBigPlanet;PS3;2008,0;Platform;Sony Computer Entertainment;2,8;2,05;0,17;0,9;5,92;Bajas Ventas
150;Dragon Quest IX: Sentinels of the Starry Skies;DS;2009,0;Role-Playing;Nintendo;0,66;0,69;4,35;0,15;5,84;Bajas Ventas
151;LEGO Star Wars: The Complete Saga;Wii;2007,0;Action;LucasArts;3,66;1,63;0,0;0,53;5,83;Bajas Ventas
152;Resident Evil 2;PS;1998,0;Action;Virgin Interactive;1,88;1,47;2,02;0,45;5,82;Bajas Ventas
153;Tekken 2;PS;1996,0;Fighting;Sony Computer Entertainment;2,26;1,89;1,36;0,23;5,74;Bajas Ventas
154;Cooking Mama;DS;2006,0;Simulation;505 Games;3,13;1,94;0,07;0,58;5,72;Bajas Ventas
155;Destiny;PS4;2014,0;Shooter;Activision;2,49;2,05;0,16;0,96;5,65;Bajas Ventas
156;Tetris;NES;1988,0;Puzzle;Nintendo;2,97;0,69;1,81;0,11;5,58;Bajas Ventas
157;Assassin's Creed II;PS3;2009,0;Action;Ubisoft;2,54;1,95;0,21;0,87;5,57;Bajas Ventas
158;Super Smash Bros,;N64;1999,0;Fighting;Nintendo;2,95;0,6;1,97;0,04;5,55;Bajas Ventas
159;Assassin's Creed;X360;2007,0;Adventure;Ubisoft;3,28;1,65;0,07;0,55;5,55;Bajas Ventas
160;Batman: Arkham City;PS3;2011,0;Action;Warner Bros, Interactive Entertainment;2,7;1,91;0,11;0,8;5,53;Bajas Ventas
161;Forza Motorsport 3;X360;2009,0;Racing;Microsoft Game Studios;2,99;1,92;0,1;0,51;5,51;Bajas Ventas
162;Monster Hunter Freedom Unite;PSP;2008,0;Role-Playing;Capcom;0,47;0,57;4,13;0,34;5,5;Bajas Ventas
163;Super Mario Advance;GBA;2001,0;Platform;Nintendo;3,14;1,24;0,91;0,2;5,49;Bajas Ventas
164;Mario Kart: Super Circuit;GBA;2001,0;Racing;Nintendo;2,62;1,64;0,99;0,23;5,47;Bajas Ventas
165;Super Mario World;GBA;2001,0;Platform;Nintendo;3,21;1,11;0,95;0,2;5,46;Bajas Ventas
166;Pokemon Stadium;N64;1999,0;Strategy;Nintendo;3,18;1,24;0,94;0,09;5,45;Bajas Ventas
167;Call of Duty: World at War;PS3;2008,0;Shooter;Activision;2,72;1,87;0,0;0,84;5,43;Bajas Ventas
168;Crash Bandicoot: The Wrath of Cortex;PS2;2001,0;Platform;Universal Interactive;2,07;2,29;0,24;0,82;5,42;Bajas Ventas
169;Minecraft;PS3;2014,0;Misc;Sony Computer Entertainment;1,97;2,51;0,0;0,94;5,42;Bajas Ventas
170;Final Fantasy XIII;PS3;2009,0;Role-Playing;Square Enix;1,74;1,24;1,87;0,52;5,36;Bajas Ventas
171;Dr, Mario;GB;1989,0;Puzzle;Nintendo;2,18;0,96;2,0;0,2;5,34;Bajas Ventas
172;Pokemon Pinball;GB;1999,0;Misc;Nintendo;3,02;1,12;1,01;0,16;5,31;Bajas Ventas
173;Assassin's Creed III;X360;2012,0;Action;Ubisoft;3,13;1,71;0,03;0,44;5,3;Bajas Ventas
174;Final Fantasy IX;PS;2000,0;Role-Playing;SquareSoft;1,62;0,77;2,78;0,14;5,3;Bajas Ventas
175;Final Fantasy X-2;PS2;2003,0;Role-Playing;Electronic Arts;1,92;1,08;2,11;0,17;5,29;Bajas Ventas
176;Donkey Kong 64;N64;1999,0;Platform;Nintendo;3,33;0,79;1,09;0,06;5,27;Bajas Ventas
177;Assassin's Creed II;X360;2009,0;Action;Ubisoft;3,1;1,56;0,08;0,51;5,27;Bajas Ventas
178;Professor Layton and the Curious Village;DS;2007,0;Puzzle;Nintendo;1,22;2,48;1,03;0,52;5,26;Bajas Ventas
179;Tomb Raider II;PS;1997,0;Action;Eidos Interactive;2,3;2,46;0,2;0,28;5,24;Bajas Ventas
180;Madden NFL 2004;PS2;;Sports;Electronic Arts;4,26;0,26;0,01;0,71;5,23;Bajas Ventas
181;Dragon Quest VIII: Journey of the Cursed King;PS2;2004,0;Role-Playing;Square Enix;0,65;0,75;3,61;0,2;5,21;Bajas Ventas
182;Diablo III;PC;2012,0;Role-Playing;Activision;2,43;2,15;0,0;0,62;5,2;Bajas Ventas
183;Super Mario Bros, 3;GBA;2003,0;Platform;Nintendo;2,93;1,25;0,83;0,2;5,2;Bajas Ventas
184;New Super Mario Bros, U;WiiU;2012,0;Platform;Nintendo;2,32;1,3;1,27;0,31;5,19;Bajas Ventas
185;Super Mario Land 3: Wario Land;GB;1994,0;Platform;Nintendo;2,49;0,98;1,57;0,15;5,19;Bajas Ventas
186;FIFA Soccer 13;X360;2012,0;Action;Electronic Arts;1,08;3,48;0,03;0,58;5,18;Bajas Ventas
187;The Legend of Zelda: Phantom Hourglass;DS;2007,0;Action;Nintendo;1,9;1,83;0,95;0,49;5,17;Bajas Ventas
188;Donkey Kong Country 2: Diddy's Kong Quest;SNES;1995,0;Platform;Nintendo;2,1;0,74;2,2;0,11;5,15;Bajas Ventas
189;Tomodachi Life;3DS;2013,0;Simulation;Nintendo;0,96;2,02;1,89;0,28;5,15;Bajas Ventas
190;Mario & Sonic at the Olympic Games;DS;2008,0;Sports;Sega;1,64;2,48;0,44;0,58;5,14;Bajas Ventas
191;Medal of Honor: Rising Sun;PS2;2003,0;Shooter;Electronic Arts;1,98;2,23;0,13;0,8;5,13;Bajas Ventas
192;Kirby's Dream Land;GB;1992,0;Platform;Nintendo;2,71;0,61;1,7;0,11;5,13;Bajas Ventas
193;Fable III;X360;2010,0;Role-Playing;Microsoft Game Studios;3,59;1,11;0,05;0,38;5,13;Bajas Ventas
194;Call of Duty: Advanced Warfare;XOne;2014,0;Shooter;Activision;3,21;1,53;0,01;0,38;5,13;Bajas Ventas
195;Microsoft Flight Simulator;PC;1996,0;Simulation;Microsoft Game Studios;3,22;1,69;0,0;0,2;5,12;Bajas Ventas
196;Guitar Hero II;PS2;2006,0;Misc;RedOctane;3,81;0,63;0,0;0,68;5,12;Bajas Ventas
197;Resident Evil 5;PS3;2009,0;Action;Capcom;1,96;1,43;1,08;0,65;5,11;Bajas Ventas
198;Grand Theft Auto V;XOne;2014,0;Action;Take-Two Interactive;2,66;2,01;0,0;0,41;5,08;Bajas Ventas
199;Grand Theft Auto: Vice City Stories;PSP;2006,0;Action;Take-Two Interactive;1,7;2,02;0,16;1,21;5,08;Bajas Ventas
200;FIFA Soccer 11;PS3;2010,0;Sports;Electronic Arts;0,6;3,29;0,06;1,13;5,08;Bajas Ventas
201;Super Mario Bros,;GB;1999,0;Platform;Nintendo;3,4;1,3;0,15;0,22;5,07;Bajas Ventas
202;Resident Evil;PS;1996,0;Action;Virgin Interactive;2,05;1,16;1,11;0,73;5,05;Bajas Ventas
203;Tony Hawk's Pro Skater;PS;1999,0;Sports;Activision;3,42;1,38;0,02;0,2;5,02;Bajas Ventas
204;Super Smash Bros, for Wii U and 3DS;WiiU;2014,0;Fighting;Nintendo;2,59;1,06;0,8;0,57;5,02;Bajas Ventas
205;Warzone 2100;PS;1999,0;Strategy;Eidos Interactive;2,79;1,89;0,0;0,33;5,01;Bajas Ventas
206;Spyro the Dragon;PS;1998,0;Platform;Sony Computer Entertainment;3,36;1,36;0,07;0,21;5,0;Bajas Ventas
207;Link's Crossbow Training;Wii;2007,0;Shooter;Nintendo;3,06;1,18;0,29;0,46;5,0;Bajas Ventas
208;Guitar Hero III: Legends of Rock;PS2;2007,0;Misc;Activision;3,49;0,01;0,01;1,48;4,98;Bajas Ventas
209;Fallout 3;X360;2008,0;Role-Playing;Bethesda Softworks;3,39;1,03;0,09;0,44;4,96;Bajas Ventas
210;Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness;DS;2007,0;Role-Playing;Nintendo;1,85;1,2;1,54;0,37;4,96;Bajas Ventas
211;Uncharted: Drake's Fortune;PS3;2007,0;Action;Sony Computer Entertainment;2,31;1,73;0,12;0,78;4,94;Bajas Ventas
212;Madden NFL 06;PS2;2005,0;Sports;Electronic Arts;3,98;0,26;0,01;0,66;4,91;Bajas Ventas
213;LEGO Star Wars: The Complete Saga;DS;2007,0;Action;LucasArts;2,89;1,54;0,0;0,46;4,9;Bajas Ventas
214;Diddy Kong Racing;N64;1997,0;Racing;Nintendo;2,91;0,99;0,89;0,1;4,88;Bajas Ventas
215;Monster Hunter Freedom 3;PSP;2010,0;Role-Playing;Capcom;0,0;0,0;4,87;0,0;4,87;Bajas Ventas
216;Dr, Mario;NES;1990,0;Puzzle;Nintendo;2,62;0,6;1,52;0,1;4,85;Bajas Ventas
217;God of War III;PS3;2010,0;Action;Sony Computer Entertainment;2,74;1,36;0,12;0,63;4,84;Bajas Ventas
